"ID",Sort Order,Procedure Name,Slug,Category,Category Label,Short Description,Full Description,Common Uses / Indications,Key Benefits,What To Expect,Sessions & Frequency,Downtime & Recovery,Clinical Considerations & Precautions,FAQs,Related Procedures,Hero Image URL,Added By (Name),Added By Clinic ID,Active Status
proc_botox,1,Botox,botox,aesthetics,Injectables,"FDA-approved neuromodulator to smooth fine lines, forehead creases & crow’s feet.","Botox (Botulinum toxin type A) is a purified protein injection that temporarily relaxes facial muscles causing dynamic wrinkles. It is the gold standard worldwide for softening forehead lines, frown lines between the eyebrows (glabella), and crow’s feet around the eyes, leaving your expression refreshed and naturally rested.","1. Horizontal forehead lines & furrows
2. Frown lines between eyebrows (11 lines)
3. Crow’s feet around the eyes
4. Bunny lines on the nose
5. Jawline slimming & masseter reduction
6. Excessive underarm sweating (Hyperhidrosis)","• Visible wrinkle reduction in 4 to 7 days
• Quick 15–20 minute in-clinic procedure
• Zero downtime — return to work immediately
• Preserves natural facial expressions when administered by experts
• Prevents deeper wrinkle formation over time",Your dermatologist will assess facial muscle dynamics and mark injection points. Tiny micro-injections are delivered using ultra-fine needles. You will feel a minor pinch lasting only a few seconds. Mild redness or tiny bumps resolve within 30 minutes.,Single session delivers results lasting 3 to 5 months. Maintenance sessions are recommended 2–3 times a year.,"Zero downtime. Avoid touching the area, strenuous workouts, and lying down flat for 4 hours post-procedure.","• Mild temporary redness or pinprick bruising
• Avoid blood-thinning supplements 48 hours prior
• Not recommended during pregnancy or breastfeeding
• Always performed by certified MD Dermatologists for optimal symmetry","Q: Will my face look frozen or unnatural?
A: No. When administered by our verified board-certified dermatologists, precise micro-dosing softens lines while maintaining natural, expressive facial movement.

Q: How long does Botox take to show full results?
A: Initial effects appear in 3–5 days, with peak, optimal smoothing visible at 10–14 days.

Q: How many units will I need?
A: Units depend on your muscle strength and target zones (typically 12–20 units for forehead, 16–24 for crow’s feet). Your doctor will customize this during consultation.","dermal-fillers, chemical-peel, skin-tightening",https://images.unsplash.com/photo-1512290900672-1f02f9019688?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_fillers,2,Dermal Fillers,dermal-fillers,aesthetics,Injectables,"Hyaluronic acid gels to restore lost facial volume, plump lips and sculpt contours.","Dermal fillers are formulated with biocompatible Hyaluronic Acid (HA) to instantly restore facial volume, lift sagging cheeks, define the jawline, soften smile lines (nasolabial folds), and hydrate lips.","1. Lip definition, plumping and hydration
2. Cheekbone contouring & volume restoration
3. Under-eye hollows & tear trough brightening
4. Jawline sculpting & chin enhancement
5. Smile lines (Nasolabial folds) softening","• Instant, visible lifting and volume
• High safety profile with dissolvable Hyaluronic Acid
• Natural-looking enhancement tailored to your bone structure
• Long-lasting results from 9 to 18 months",Numbing cream is applied for 20 minutes. Fillers containing built-in lidocaine are carefully placed using fine micro-cannulas or needles for maximum precision and minimal bruising.,Single session delivers immediate results. Touch-ups are typically scheduled once every 12 months.,1 to 2 days of mild swelling or localized tenderness. Normal activities can resume immediately.,"• Mild swelling is normal for the first 24–48 hours
• Avoid excessive heat, saunas, and intense workouts for 48 hours
• Choose verified injectors with deep anatomical expertise","Q: Are dermal fillers reversible?
A: Yes. Hyaluronic acid fillers can be instantly dissolved using an enzyme called Hyaluronidase if adjustment is ever desired.

Q: How soon can I see results?
A: Results are noticeable immediately, with optimal settling occurring within 7 to 10 days after mild swelling subsides.","botox, skin-tightening, hydrafacial",https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_hydrafacial,3,Hydrafacial MD,hydrafacial,skin,Skin Health,"Medical-grade 3-in-1 hydradermabrasion: cleanse, extract blackheads & infuse antioxidant serums.","Hydrafacial MD is a patented medical-grade skin treatment that uses Vortex-Fusion technology to deeply cleanse pores, extract sebum and blackheads painlessly, and saturate the skin with intensive hydration, peptides, and botanical antioxidants.","1. Clogged pores, blackheads and whiteheads
2. Dull, tired or dehydrated skin
3. Uneven skin texture and tone
4. Pre-event instant luminous glow","• Instant radiant glow with zero redness or peeling
• Deeply cleanses congested pores without manual squeezing
• Customizable booster serums for anti-ageing or brightening
• Safe for all skin types and skin tones year-round","A gentle, soothing 45-minute treatment across 3 steps: Cleansing & Exfoliation, Acid Peel & Vortex Extraction, followed by Antioxidant & Hyaluronic Acid Infusion.","Recommended once a month for optimal skin health, or 2–3 days before special occasions.","Zero downtime. You can wear makeup immediately, although you will love your natural bare glow.","• Gentle on sensitive skin
• Avoid active retinol/AHA acids 24 hours prior","Q: Is Hydrafacial painful?
A: Not at all. Most patients describe it as a cool paintbrush moving across the face, followed by a gentle suction sensation.

Q: Can I do Hydrafacial before a wedding or party?
A: Yes! It is the ideal red-carpet glow treatment. We recommend getting it done 24–48 hours before your event.","chemical-peel, skin-brightening, microneedling",https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_peel,4,Chemical Peel,chemical-peel,skin,Skin Health,"Dermatologist-formulated peeling solutions for acne, active breakouts, stubborn tan & dark spots.","A clinical chemical peel uses controlled organic exfoliating acids (Glycolic, Salicylic, Lactic, Mandelic, or TCA) to safely dissolve the outer layer of dead, sun-damaged skin cells, accelerating cellular turnover to reveal smoother, even-toned skin.","1. Active acne breakouts and post-acne pigmentation
2. Sun tan, uneven pigmentation and melasma
3. Enlarged pores and rough texture
4. Superficial fine lines and dullness","• Rapid clearance of active breakouts and blackheads
• Fades dark acne marks (PIH) and sun spots
• Refines pore size and restores smooth texture
• Tailored peel strength customized to Indian skin types",The skin is thoroughly degreased before applying the selected chemical peel solution. You will experience a mild warm or tingling sensation for 3 to 7 minutes before neutralizer is applied.,Series of 4 to 6 sessions spaced 2 to 3 weeks apart for best transformative results.,Mild flaking or micro-peeling for 2 to 4 days depending on peel depth. Strict sun protection is required.,"• Sunscreen application (SPF 50+) is mandatory post-peel
• Do not pick or scratch flaking skin
• Discontinue retinoids 3 days before treatment","Q: Will my whole face peel visibly in sheets?
A: Modern superficial and medium peels produce gentle micro-flaking rather than dramatic sheet peeling, allowing you to carry on with your daily routine.","hydrafacial, pigmentation-treatment, acne-scar-treatment",https://images.unsplash.com/photo-1516549655169-df83a0774514?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_microneedling,5,Microneedling / Dermapen,microneedling,skin,Skin Resurfacing,"Precision collagen induction therapy to diminish acne scars, shrink pores & firm skin.","Microneedling (Collagen Induction Therapy) uses an automated medical device with microscopic sterile needles to create controlled micro-channels in the dermis. This triggers the skin’s natural healing cascade, boosting collagen and elastin production.","1. Depressed acne scars (boxcar, rolling, icepick)
2. Enlarged open pores and uneven texture
3. Fine lines and loss of skin elasticity
4. Surgical scars and stretch marks","• Significant improvement in acne scar depth and texture
• Stimulates body’s own natural collagen production
• Enhances topical serum absorption by over 300%
• Safe for darker skin tones with minimal risk of pigmentation",Topical numbing cream is applied for 30–45 minutes for a comfortable experience. The Dermapen device is gently passed across the target zones with calming hyaluronic acid or growth factor serums.,3 to 5 sessions spaced 4 weeks apart deliver permanent collagen remodeling benefits.,1 to 2 days of mild sunburn-like redness. Mineral makeup can be applied after 24 hours.,"• Avoid direct sun exposure for 48 hours
• Keep skin hydrated with dermatologist-recommended barrier creams","Q: Does microneedling hurt?
A: With our clinical-grade topical numbing cream, discomfort is very low — most patients feel only a slight vibration or light scratch.","acne-scar-treatment, prp-hair-treatment, chemical-peel",https://images.unsplash.com/photo-1616394584738-fc6e612e71b9?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_lhr,6,Laser Hair Removal,laser-hair-removal,laser,Laser Treatments,"US-FDA approved Triple-Wavelength Diode & Alexandrite lasers for painless, permanent hair reduction.","Laser Hair Removal uses concentrated laser light beams absorbed by the melanin in hair follicles. The thermal energy destroys the follicle root, permanently stunting future hair growth while keeping surrounding skin cool and protected with advanced contact cooling tips.","1. Full body hair reduction (legs, arms, back, chest)
2. Facial hair (upper lip, chin, jawline, sideburns)
3. Bikini line and underarms
4. Ingrown hair and strawberry legs prevention","• Up to 90% permanent hair reduction
• Completely eliminates painful waxing, razor bumps & ingrown hairs
• Advanced ice-cooling handpieces ensure virtually painless sessions
• Safe and effective on all Indian skin types","The area is shaved and marked. A cooling gel is applied, and the laser handpiece glides smoothly across the skin delivering rapid pulses with ice-cold contact cooling.","6 to 8 sessions spaced 4 to 6 weeks apart, matching the active hair growth cycles (anagen phase).",Zero downtime. Mild transient redness usually resolves within 1 to 2 hours.,"• Shave target area 24 hours prior; avoid waxing or plucking for 3 weeks
• Avoid tanning or active sun exposure before sessions","Q: Is Laser Hair Removal permanent?
A: It provides long-term permanent hair reduction (80–90% reduction). Any remaining fine hairs grow back much slower, lighter, and softer, requiring only an occasional yearly maintenance session.","laser-toning, skin-brightening",https://images.unsplash.com/photo-1560750588-73207b1ef5b8?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_laser_toning,7,Q-Switched Laser Toning,laser-toning,laser,Laser Treatments,"Nanosecond Nd:YAG laser to fragment deep melanin, clarify skin tone & stimulate collagen.","Q-Switched Nd:YAG laser toning delivers safe, non-ablative high-energy nanosecond pulses that shatter stubborn deep pigmentation and dermal melanin deposits into microscopic fragments, which your body naturally clears over subsequent weeks.","1. Stubborn melasma and hyperpigmentation
2. Sun damage, dark patches and age spots
3. Post-inflammatory hyperpigmentation (PIH)
4. Dull skin tone and overall carbon laser peel glow","• Targets deep dermal pigmentation without burning the surface skin
• Evens out patchy skin tone and brightens complexion
• Stimulates deep collagen renewal to shrink pores
• No peeling or visible skin breakage",You will wear protective eye goggles. The laser pulses feel like tiny warm rubber band snaps across the face. The session takes about 20 minutes.,"4 to 6 sessions every 2–3 weeks for progressive, lasting skin clarity.",Zero downtime. Mild warmth or pinkness subsides within 30 minutes.,• Daily broad-spectrum sunscreen is essential to maintain results,"Q: Can Q-Switched laser worsen pigmentation?
A: When performed by skilled dermatologists using certified machines with proper cooling protocols, Q-Switched toning is exceptionally safe for Asian skin types.","pigmentation-treatment, skin-brightening, chemical-peel",https://images.unsplash.com/photo-1519699047748-de8e457a634e?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_acne_scars,8,Acne Scar Treatment (Subcision + Fractional),acne-scar-treatment,skin,Scar Revision,"Multi-modality scar remodeling: Subcision, TCA Cross, Fractional CO2 / Erbium Laser & MNRF.","Comprehensive acne scar revision tailored to your scar types (icepick, boxcar, and rolling scars). Combines subcision to release tethered fibrous bands with Fractional Resurfacing and Microneedle Radiofrequency (MNRF) for profound collagen rebuilding.","1. Rolling scars and tethered depressions
2. Boxcar scars and uneven dermal indentations
3. Deep icepick scars (treated with TCA Cross)
4. Enlarged textural pores and rough scar margins","• Clinically proven 60–80% improvement in scar depth
• Multi-modality customized approach based on scar mapping
• Permanent scar restructuring and collagen elevation","Detailed scar mapping under tangential lighting, followed by local numbing. Subcision releases bound scar tissue, followed by fractional laser or MNRF energy passes.",3 to 5 combination sessions spaced 4 to 6 weeks apart.,3 to 5 days of micro-crusting and mild redness. Skin settles smoothly with diligent moisturizer use.,"• Active acne should be controlled before scar revision
• Avoid sun exposure during the healing window","Q: Are acne scar treatment results permanent?
A: Yes! The new collagen synthesized during the healing cascade permanently elevates and smoothens the depressed scar tissue.","microneedling, chemical-peel, laser-toning",https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_pigmentation,9,Pigmentation & Melasma Treatment,pigmentation-treatment,skin,Skin Health,"Targeted protocols combining medical depigmentation peels, laser toning & tyrosinase inhibitors.","A multi-layered dermatological protocol designed to regulate excess melanin production at the cellular level. Combines Cosmelan / Dermamelan peels, Nd:YAG laser toning, and clinical antioxidant mesotherapy to lighten stubborn dark patches and melasma.","1. Hormonal melasma and butterfly patches
2. Sun freckles, age spots and lentigines
3. Dark under-eye circles and peri-oral pigmentation
4. Post-inflammatory hyperpigmentation","• Fades deep dermal and epidermal pigmentation
• Suppresses overactive melanocyte activity
• Restores uniform complexion and luminosity","Dermatologist examination using Wood’s lamp or digital dermoscopy to determine pigmentation depth, followed by targeted peel or laser application.",3 to 6 sessions customized to the severity and depth of pigmentation.,Minimal to 2 days of mild peeling depending on the specific protocol used.,• Requires consistent homecare regimen and strict sun defense,"Q: Can melasma be cured completely?
A: Melasma can be dramatically faded and controlled with clinical treatments and proper maintenance, though sun protection is vital to prevent recurrence.","laser-toning, chemical-peel, skin-brightening",https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?q=80&w=1200&auto=format&fit=crop,System,,Active
proc_brightening,10,Skin Brightening & Medi-Facials,skin-brightening,skin,Medi-Facials,"Customized dermatologist medi-facials with Glutathione, Vitamin C infusions & Oxygen therapy.","Clinical-grade medi-facials engineered by dermatologists to revitalize fatigued skin. Utilizes ultrasonic sonophoresis, oxygen dome therapy, and active infusions of pure Vitamin C, Glutathione, and Hyaluronic acid for an immediate, healthy glass-skin radiance.","1. Dull, stressed and polluted skin
2. Pre-wedding and festive skin prep
3. Dehydrated skin needing deep moisture infusion
4. Uneven skin tone and environmental damage","• Instant glass-skin glow with intense hydration
• Detoxifies and infuses pure botanical antioxidants
• Completely relaxing with zero discomfort","Relaxing multi-step treatment including ultrasonic pore cleanse, antioxidant serum infusion, lymphatic drainage massage, and cooling hydrogel mask.",Can be done as a single pre-event treatment or monthly for continuous maintenance.,Zero downtime.,• Suitable for all skin types including sensitive skin,"Q: How is a Medi-Facial different from a regular salon facial?
A: Medi-facials use pharmaceutical-grade active ingredients, sterile medical equipment, and proven scientific protocols tailored by dermatologists rather than standard cosmetic creams.","hydrafacial, chemical-peel, pigmentation-treatment",https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=1200&auto=format&fit=crop,System,,Active
